blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17275668;2023-05-16 23:59:23;0x220584a76c5539e7ac08628c022adadc89cef0feff0f8685c2d0a0d3aee01fec;4052;0x30e6a5a9447a9f8063bf8f6a0a776e5d2cdc5254c4599e1ecec32216ab35c835;0x1cd9ecd53328d098b522a71e4e1719d4fcb6a2ca;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xe602f5ae47dc35d654a4a5fe1f2375b3b0003f06;209.12;Axie Infinity Shard;AXS;18;55;61940;55255647366;51605;7486251;deprecated;9897
17275672;2023-05-17 00:00:11;0x44ea3232fe4695277d3d4dbe53f58e5ba926929bdeaece56fd4d21187161bc5d;11;0x73d5d51cd4b0ca8d1abf9ab6e1eaaf6920014bd94f57809b40ff7ad8fefdd860;0xe602f5ae47dc35d654a4a5fe1f2375b3b0003f06;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x28c6c06298d514db089934071355e5743bf21d60;209.12;Axie Infinity Shard;AXS;18;142;69034;52054624329;29717;5606761;deprecated;9893
17275679;2023-05-17 00:01:35;0xcafca2ca41545536f3a652659904015c27bd0fd033dfd54781ff14458b178b55;6707573;0x725e96318c893d8c54698a1318814f72f942d7859c8e0d46616deb8f7b28bd02;0x28c6c06298d514db089934071355e5743bf21d60;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x33d58fc6eaaad6b60212f913af082627a1c9bdda;2493.14;Axie Infinity Shard;AXS;18;75;207128;55972915820;34517;8384738;deprecated;9886
17275702;2023-05-17 00:06:11;0x152730016d869119c6c572d8964a4fccc8a74d9990ad3d32b38999531f9c40c6;751154;0x0b0b94dfec2cbab18929aab6b3b6589ff1e7cc0b135cd3244182ab09622ccf40;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xc30d3fdeef71c76c49ef3fc9f38899843d9e59ec;82.48019966999999;Axie Infinity Shard;AXS;18;77;2000000;53201848916;471362;7374839;deprecated;9863
17275709;2023-05-17 00:07:35;0x3e1a03835dce568088d8416bc4e9cb52533c072c7cf975b21c85c60ae45be302;64533;0xdddca365f67fcc3fe05400e395be736891ec55bfe1f4aaac81ff015bf70d09c8;0xaa364c1a348f9517009207a1601e0a73c1cd530b;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xbb9517e1e235cf684f61657f1f489759913bcbc7;3.0;Axie Infinity Shard;AXS;18;36;61926;58084183045;51605;3204703;deprecated;9856
17275715;2023-05-17 00:08:47;0xabc04bed7c73cfedb38a854f897e7fcdb337fdc1f23e5ce78f789529636bb9d2;43185;0x7de1895d09c507f137f78bb6330d7b566687cfeb7c3c547c78e97d7e39e0db9a;0xbb9517e1e235cf684f61657f1f489759913bcbc7;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x08daf71efa7915807bc5675ad402989d7820cf6f;3.0;Axie Infinity Shard;AXS;18;72;160332;57463980962;54435;6216446;deprecated;9850
17275776;2023-05-17 00:21:11;0xe3b601050089327d62213b5d136eb2d5e4c4812b3b8cb240bd78bf7806a18491;0;0x6580357cbdd286c62edd5f5f26fde769d5d08f22257e9a4a20cb6fd36c360dec;0x42c751beae20a806d6200b1808c843d913904372;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x9a89ee8faa6fd403bfbe61ce6abdf283d22b1567;5009.200000000001;Axie Infinity Shard;AXS;18;47;61955;53902449927;46829;4354494;deprecated;9789
17275785;2023-05-17 00:22:59;0x571a5b6ce4d60f8603f4f3c88c143ea58e2ed19a50c7a3a298a14b2ff8ce6612;12;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x9a89ee8faa6fd403bfbe61ce6abdf283d22b1567;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xa040832b1e5026da6dc843e6773a9e4d02fff9b1;900.0;Axie Infinity Shard;AXS;18;36;872492;43682573118;635981;7453213;deprecated;9780
17275785;2023-05-17 00:22:59;0x571a5b6ce4d60f8603f4f3c88c143ea58e2ed19a50c7a3a298a14b2ff8ce6612;12;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x9a89ee8faa6fd403bfbe61ce6abdf283d22b1567;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;2100.0;Axie Infinity Shard;AXS;18;36;872492;43682573118;635981;7453213;deprecated;9780
17275785;2023-05-17 00:22:59;0xcd2efb45753971771106e45fc3260ffcdbb9f19738fb3086f09479ec17ed1e01;71462;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0xa040832b1e5026da6dc843e6773a9e4d02fff9b1;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x9dd864d39fbfdf7648402746263e451cd4f36af0;894.834132589574;Axie Infinity Shard;AXS;18;37;1300000;41008890193;397611;7850824;deprecated;9780
17275785;2023-05-17 00:22:59;0xcd2efb45753971771106e45fc3260ffcdbb9f19738fb3086f09479ec17ed1e01;71462;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x9dd864d39fbfdf7648402746263e451cd4f36af0;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x4c5a14dcf6cdb8b8ed5bdda408914e2962f6c230;894.834132589574;Axie Infinity Shard;AXS;18;37;1300000;41008890193;397611;7850824;deprecated;9780
17275785;2023-05-17 00:22:59;0x8712037aafbdeedd79df6bbfbfcd69dc1a53ed9847364e4d65bf819ccc6dd527;71463;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x9dd864d39fbfdf7648402746263e451cd4f36af0;1037.1890381469145;Axie Infinity Shard;AXS;18;38;1300000;41008890193;580494;8431318;deprecated;9780
17275785;2023-05-17 00:22:59;0x8712037aafbdeedd79df6bbfbfcd69dc1a53ed9847364e4d65bf819ccc6dd527;71463;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x9dd864d39fbfdf7648402746263e451cd4f36af0;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x4c5a14dcf6cdb8b8ed5bdda408914e2962f6c230;1037.1890381469145;Axie Infinity Shard;AXS;18;38;1300000;41008890193;580494;8431318;deprecated;9780
17275785;2023-05-17 00:22:59;0x311ea304935faf202feda4e9ebb228343b98cd669f6064e289f495bea60acca8;71464;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x9dd864d39fbfdf7648402746263e451cd4f36af0;818.4298788413228;Axie Infinity Shard;AXS;18;39;1300000;41008890193;392015;8823333;deprecated;9780
17275785;2023-05-17 00:22:59;0x311ea304935faf202feda4e9ebb228343b98cd669f6064e289f495bea60acca8;71464;0x1cdf2ac443f2b1540803e1861f89bb4219a5300520d9b59578d2e65f4f9ce617;0x9dd864d39fbfdf7648402746263e451cd4f36af0;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0xf1c3508668bd7196c6af444a42e5aafe4c0e21d0;818.4298788413228;Axie Infinity Shard;AXS;18;39;1300000;41008890193;392015;8823333;deprecated;9780
17275786;2023-05-17 00:23:11;0xf65c413355b954b87aa9a4b3dd0fe08c960683b2e7285e284baa90b127d676d5;39062;0xe72d257c807deb4e6bc385b8b041b0fb30cce1bb0d81f115375e5863a17606f8;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x000000000dfde7deaf24138722987c9a6991e2d4;151.44085567448258;Axie Infinity Shard;AXS;18;42;1000000;68459218919;106543;5798784;deprecated;9779
17275788;2023-05-17 00:23:35;0x39682c3a13ea33f4c07828a647751b14f661ba8e455ff16770a1116bebcfcf17;13;0x7ae796f86d4b4e529bcecb956924d349ee1c0f996d37a88c75570678512e239b;0x9a89ee8faa6fd403bfbe61ce6abdf283d22b1567;0xbb0e17ef65f82ab018d8edd776e8dd940327b28b;0x3019d4e366576a88d28b623afaf3ecb9ec9d9580;82.63245355733513;Axie Infinity Shard;AXS;18;16;187977;45960912177;132491;1657314;deprecated;9777
