blockNumber;timeStamp;hash;nonce;blockHash;from;contractAddress;to;value;tokenName;tokenSymbol;tokenDecimal;transactionIndex;gas;gasPrice;gasUsed;cumulativeGasUsed;input;confirmations
17267685;2023-05-15 20:56:32;0xf8cebc3f8dd03f2c042de55cb6faef2a942e35fedabed5195aad78b96516b49f;146956;0x775173cc31b593a90dcdd9a62b46e82901674a6cb13793aef96a90419c549d76;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0xa2a8397e225437c4baa4b76326bbbb7dc4b96e75;1.8781e-06;Gala;GALA;8;30;87612;78673501120;86707;2660763;deprecated;7136
17267696;2023-05-15 20:58:40;0xefbb8d9616ce4cccbac19660311b26625793854782d3e798400fbf22d8e00073;146957;0xf624bf17f3704795ea0f4e42c85ba352c1d8f41ef0fe1f06d5d5f48e0e522deb;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x61462e024289e72f1caf0e28bd6ef8b9ebc519ec;3.1652101872082e-05;Gala;GALA;8;44;70252;72027773404;69619;4562496;deprecated;7125
17267770;2023-05-15 21:13:36;0xb823b5d72be713c9e55acac759c14d53410313c3845b14eefe2c2e5fe87b5fa2;146958;0x988f0dd3b00e8f147543fbc4ff524c2da466a025265eba303f2e1c02c62232cc;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x0030494ad0e310ca40996e63189fec76e8eae089;2.037120446849e-06;Gala;GALA;8;91;70240;88316552293;69607;9303081;deprecated;7051
17267770;2023-05-15 21:13:36;0xefc902878ace4adcb05ffcf93748b49af6188455f509204ca955704c56501e80;146959;0x988f0dd3b00e8f147543fbc4ff524c2da466a025265eba303f2e1c02c62232cc;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x38606da996bc6c25cbf51e41c29200abe7c16b03;1.526055783594e-06;Gala;GALA;8;92;70240;88316552293;69607;9372688;deprecated;7051
17267820;2023-05-15 21:24:16;0xcf7ee1aa916381bca97bfc12ae357ac6c07342403772f31e9fe9ef271b018050;146960;0xe7be4167e4b55390225551aed7fa4d679f2a4a5318323b6e2ef4efda00418e3a;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x52c17636b73fdb0f0ee36302b834ecbf380e0646;1.6857611711e-08;Gala;GALA;8;54;70240;109703614988;69607;5073554;deprecated;7001
17268178;2023-05-15 22:36:48;0xa7ac54236410391b44656729c8cb729161c677eac6f1cde8c4bdfc0fb9a78df9;0;0xf8e511a7cb53cb8102ccaf9324b37dbab73b257d9d0337297ca95db93c399b4a;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x87b70ea25ff45033e9234c3ca1d78b6e94e15004;2.391779290322989;Gala;GALA;8;111;400000;80004282705;69643;13536589;deprecated;6643
17268187;2023-05-15 22:38:56;0x481c49d8edeaa114d571325c49beb240f561b408d51ffa61e273a77118014b6d;146961;0x12e933a8213b6ddf8d3e25e5020898449e7d519ad0979db26fc16d164fb5ba7e;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x8949af3eef446d09f12bc4984fbd7893df8bf264;6.74e-07;Gala;GALA;8;25;70228;97115697848;69595;2052558;deprecated;6634
17268227;2023-05-15 22:47:28;0x955053eb775f19a949edc56dec72897bf82742e4533375493f72d72522d9fda3;1;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x308672703961164e64332ba1ce19b85827502b4d;0.03717089590129112;Gala;GALA;8;26;400000;97853846207;326538;3416401;deprecated;6594
17268227;2023-05-15 22:47:28;0x955053eb775f19a949edc56dec72897bf82742e4533375493f72d72522d9fda3;1;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x6cc5f688a315f3dc28a7781717a9a798a59fda7b;0.030481027495771622;Gala;GALA;8;26;400000;97853846207;326538;3416401;deprecated;6594
17268227;2023-05-15 22:47:28;0x955053eb775f19a949edc56dec72897bf82742e4533375493f72d72522d9fda3;1;0x6b0b2ab3881668f91394b2d41be1d170eea46d25369e54d078c108f3fae3029b;0x0000000000000000000000000000000000000000;0xd1d2eb1b1e90b638588728b4130137d262c87cae;0x326d9f47ba49bbaac279172634827483af70a601;0.0250999772;Gala;GALA;8;26;400000;97853846207;326538;3416401;deprecated;6594
